timestamp,open,high,low,close,volume,year_month
2022-05-01,37630.80000000,38675.00000000,37386.38000000,38468.35000000,38812.24104000,2022_05
2022-05-02,38468.35000000,39167.34000000,38052.00000000,38525.16000000,53200.92628000,2022_05
2022-05-03,38525.16000000,38651.51000000,37517.80000000,37728.95000000,40316.45358000,2022_05
2022-05-04,37728.95000000,40023.77000000,37670.00000000,39690.00000000,62574.61736000,2022_05
2022-05-05,39690.00000000,39845.51000000,35571.90000000,36552.97000000,88722.43355000,2022_05
2022-05-06,36552.97000000,36675.63000000,35258.00000000,36013.77000000,68437.80187000,2022_05
2022-05-07,36013.77000000,36146.30000000,34785.00000000,35472.39000000,34281.70682000,2022_05
2022-05-08,35472.40000000,35514.22000000,33713.95000000,34038.40000000,72445.64344000,2022_05
2022-05-09,34038.39000000,34243.15000000,30033.33000000,30076.31000000,191876.92642800,2022_05
2022-05-10,30074.23000000,32658.99000000,29730.40000000,31017.10000000,165532.00311000,2022_05
2022-05-11,31017.11000000,32162.59000000,27785.00000000,29103.94000000,207063.73927800,2022_05
2022-05-12,29103.94000000,30243.00000000,26700.00000000,29029.75000000,204507.26313800,2022_05
2022-05-13,29029.74000000,31083.37000000,28751.67000000,29287.05000000,97872.36957000,2022_05
2022-05-14,29287.05000000,30343.27000000,28630.00000000,30086.74000000,51095.87863000,2022_05
2022-05-15,30086.74000000,31460.00000000,29480.00000000,31328.89000000,46275.66912000,2022_05
2022-05-16,31328.89000000,31328.90000000,29087.04000000,29874.01000000,73082.19658000,2022_05
2022-05-17,29874.01000000,30788.37000000,29450.38000000,30444.93000000,56724.13307000,2022_05
2022-05-18,30444.93000000,30709.99000000,28654.47000000,28715.32000000,59749.15799000,2022_05
2022-05-19,28715.33000000,30545.18000000,28691.38000000,30319.23000000,67877.36415000,2022_05
2022-05-20,30319.22000000,30777.33000000,28730.00000000,29201.01000000,60517.25325000,2022_05
2022-05-21,29201.01000000,29656.18000000,28947.28000000,29445.06000000,20987.13124000,2022_05
2022-05-22,29445.07000000,30487.99000000,29255.11000000,30293.94000000,36158.98748000,2022_05
2022-05-23,30293.93000000,30670.51000000,28866.35000000,29109.15000000,63901.49932000,2022_05
2022-05-24,29109.14000000,29845.86000000,28669.00000000,29654.58000000,59442.96036000,2022_05
2022-05-25,29654.58000000,30223.74000000,29294.21000000,29542.15000000,59537.38659000,2022_05
2022-05-26,29542.14000000,29886.64000000,28019.56000000,29201.35000000,94581.65463000,2022_05
2022-05-27,29201.35000000,29397.66000000,28282.90000000,28629.80000000,90998.52010000,2022_05
2022-05-28,28629.81000000,29266.00000000,28450.00000000,29031.33000000,34479.35127000,2022_05
2022-05-29,29031.33000000,29587.78000000,28839.21000000,29468.10000000,27567.34764000,2022_05
2022-05-30,29468.10000000,32222.00000000,29299.62000000,31734.22000000,96785.94760000,2022_05
2022-05-31,31734.23000000,32399.00000000,31200.01000000,31801.04000000,62433.11632000,2022_05
