timestamp,open,high,low,close,volume,year_month
2024-10-01,63327.60000000,64130.63000000,60164.00000000,60805.78000000,43671.48108000,2024_10
2024-10-02,60804.92000000,62390.31000000,60000.00000000,60649.28000000,31534.70118000,2024_10
2024-10-03,60649.27000000,61477.19000000,59828.11000000,60752.71000000,26221.43472000,2024_10
2024-10-04,60752.72000000,62484.85000000,60459.90000000,62086.00000000,21294.65994000,2024_10
2024-10-05,62086.00000000,62370.56000000,61689.26000000,62058.00000000,7807.46141000,2024_10
2024-10-06,62058.01000000,62975.00000000,61798.97000000,62819.91000000,8906.86177000,2024_10
2024-10-07,62819.91000000,64478.19000000,62128.00000000,62224.00000000,25966.18520000,2024_10
2024-10-08,62224.01000000,63200.00000000,61860.31000000,62160.49000000,19702.22371000,2024_10
2024-10-09,62160.50000000,62543.75000000,60301.00000000,60636.02000000,20011.15684000,2024_10
2024-10-10,60636.01000000,61321.68000000,58946.00000000,60326.39000000,23967.92481000,2024_10
2024-10-11,60326.40000000,63417.56000000,60087.64000000,62540.00000000,23641.35209000,2024_10
2024-10-12,62539.99000000,63480.00000000,62487.23000000,63206.22000000,10911.30116000,2024_10
2024-10-13,63206.23000000,63285.72000000,62050.00000000,62870.02000000,11909.21995000,2024_10
2024-10-14,62870.02000000,66500.00000000,62457.81000000,66083.99000000,37669.95222000,2024_10
2024-10-15,66084.00000000,67950.00000000,64800.01000000,67074.14000000,43683.95423000,2024_10
2024-10-16,67074.14000000,68424.00000000,66750.49000000,67620.01000000,29938.25544000,2024_10
2024-10-17,67620.00000000,67939.40000000,66666.00000000,67421.78000000,25328.22861000,2024_10
2024-10-18,67421.78000000,69000.00000000,67192.36000000,68428.00000000,28725.63500000,2024_10
2024-10-19,68427.99000000,68693.26000000,68010.00000000,68378.00000000,8193.66737000,2024_10
2024-10-20,68377.99000000,69400.00000000,68100.00000000,69031.99000000,12442.47378000,2024_10
2024-10-21,69032.00000000,69519.52000000,66840.67000000,67377.50000000,31374.42184000,2024_10
2024-10-22,67377.50000000,67836.01000000,66571.42000000,67426.00000000,24598.96268000,2024_10
2024-10-23,67426.01000000,67472.83000000,65260.00000000,66668.65000000,25530.24070000,2024_10
2024-10-24,66668.65000000,68850.00000000,66510.00000000,68198.28000000,22589.83877000,2024_10
2024-10-25,68198.27000000,68771.49000000,65596.29000000,66698.33000000,34479.71125000,2024_10
2024-10-26,66698.32000000,67454.55000000,66439.90000000,67092.76000000,11842.90770000,2024_10
2024-10-27,67092.76000000,68332.05000000,66913.73000000,68021.70000000,8653.19592000,2024_10
2024-10-28,68021.69000000,70270.00000000,67618.00000000,69962.21000000,29046.75459000,2024_10
2024-10-29,69962.21000000,73620.12000000,69760.00000000,72736.42000000,50128.60594000,2024_10
2024-10-30,72736.41000000,72961.00000000,71436.00000000,72344.74000000,26885.99056000,2024_10
2024-10-31,72344.75000000,72700.00000000,69685.76000000,70292.01000000,29352.10297000,2024_10
