timestamp,open,high,low,close,volume,year_month
2020-01-01,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500,2020_01
2020-01-02,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200,2020_01
2020-01-03,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100,2020_01
2020-01-04,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700,2020_01
2020-01-05,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400,2020_01
2020-01-06,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600,2020_01
2020-01-07,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100,2020_01
2020-01-08,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000,2020_01
2020-01-09,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000,2020_01
2020-01-10,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800,2020_01
2020-01-11,8198.86000000,8286.34000000,8003.16000000,8020.01000000,54810.03266700,2020_01
2020-01-12,8020.01000000,8197.00000000,7960.00000000,8184.98000000,38131.49433600,2020_01
2020-01-13,8184.97000000,8196.00000000,8055.89000000,8110.34000000,31159.75568300,2020_01
2020-01-14,8110.34000000,8880.00000000,8105.54000000,8810.01000000,120399.12674200,2020_01
2020-01-15,8814.64000000,8916.48000000,8564.00000000,8821.41000000,84816.29760600,2020_01
2020-01-16,8820.01000000,8859.81000000,8586.00000000,8720.01000000,51991.07428400,2020_01
2020-01-17,8720.15000000,9041.65000000,8672.44000000,8913.28000000,70897.73737700,2020_01
2020-01-18,8913.27000000,8988.88000000,8806.38000000,8915.96000000,38294.74654500,2020_01
2020-01-19,8915.09000000,9198.98000000,8466.00000000,8701.70000000,70676.88925900,2020_01
2020-01-20,8701.72000000,8746.99000000,8521.28000000,8642.35000000,38896.63974600,2020_01
2020-01-21,8642.35000000,8789.00000000,8488.00000000,8736.03000000,36494.68765900,2020_01
2020-01-22,8736.04000000,8818.00000000,8590.00000000,8682.36000000,29080.55713800,2020_01
2020-01-23,8682.77000000,8691.81000000,8306.39000000,8404.52000000,48165.94459700,2020_01
2020-01-24,8404.52000000,8528.02000000,8238.00000000,8439.00000000,41687.52952900,2020_01
2020-01-25,8438.99000000,8451.26000000,8254.90000000,8340.58000000,25521.15793200,2020_01
2020-01-26,8340.01000000,8618.13000000,8293.66000000,8615.00000000,31130.48516400,2020_01
2020-01-27,8614.39000000,9000.00000000,8535.00000000,8907.57000000,53973.54299600,2020_01
2020-01-28,8907.57000000,9400.00000000,8862.40000000,9374.21000000,74584.85376500,2020_01
2020-01-29,9375.34000000,9449.24000000,9216.00000000,9301.53000000,53864.06512200,2020_01
2020-01-30,9301.57000000,9578.00000000,9204.44000000,9513.21000000,60626.74425900,2020_01
2020-01-31,9511.52000000,9530.22000000,9210.01000000,9352.89000000,45552.02235200,2020_01
